类别,precision,recall,f1-score,support,accuracy,AUC
圣女果,0.8157894736842105,0.8157894736842105,0.8157894736842105,38.0,0.8157894736842105,0.9919189799023981
山竹,0.9166666666666666,0.9428571428571428,0.9295774647887324,35.0,0.9428571428571428,0.9986367509230332
杨梅,0.9696969696969696,0.8648648648648649,0.9142857142857144,37.0,0.8648648648648649,0.998788629266717
柚子,0.8205128205128205,0.8648648648648649,0.8421052631578947,37.0,0.8648648648648649,0.9940508237320986
柠檬,0.7777777777777778,0.7241379310344828,0.75,29.0,0.7241379310344828,0.9833038026441324
桂圆,0.8837209302325582,1.0,0.9382716049382716,38.0,1.0,0.9996326809046545
梨,0.8620689655172413,0.6756756756756757,0.7575757575757576,37.0,0.6756756756756757,0.9908743404759341
椰子,0.967741935483871,0.7894736842105263,0.8695652173913043,38.0,0.7894736842105263,0.9938342866138427
榴莲,0.9393939393939394,0.8611111111111112,0.8985507246376812,36.0,0.8611111111111112,0.9969596462133776
火龙果,0.9473684210526316,1.0,0.972972972972973,36.0,1.0,0.9999170812603647
猕猴桃,0.9705882352941176,0.8918918918918919,0.9295774647887324,37.0,0.8918918918918919,0.998842467965974
石榴,0.9375,0.8108108108108109,0.8695652173913043,37.0,0.8108108108108109,0.9989232260148594
砂糖橘,0.8461538461538461,0.9428571428571428,0.8918918918918919,35.0,0.9428571428571428,0.9986935529679069
胡萝卜,0.967741935483871,0.8333333333333334,0.8955223880597015,36.0,0.8333333333333334,0.9991155334438916
脐橙,0.8857142857142857,0.8378378378378378,0.8611111111111112,37.0,0.8378378378378378,0.9964735651986648
芒果,0.8108108108108109,0.9090909090909092,0.8571428571428571,33.0,0.9090909090909092,0.9968133718133718
苦瓜,0.8611111111111112,0.8857142857142857,0.8732394366197183,35.0,0.8857142857142857,0.9982675376313547
苹果-红,0.8918918918918919,0.9428571428571428,0.9166666666666666,35.0,0.9428571428571428,0.998097131496734
苹果-青,0.7954545454545454,0.945945945945946,0.8641975308641975,37.0,0.945945945945946,0.9976580165823195
草莓,1.0,0.9210526315789472,0.958904109589041,38.0,0.9210526315789472,0.9986619090098127
荔枝,0.8444444444444444,1.0,0.9156626506024096,38.0,1.0,0.9991866505745921
菠萝,0.8780487804878049,0.972972972972973,0.9230769230769232,37.0,0.972972972972973,0.9988693873156025
葡萄-白,0.935483870967742,0.935483870967742,0.935483870967742,31.0,0.935483870967742,0.9997125519003514
葡萄-红,0.9705882352941176,0.868421052631579,0.9166666666666666,38.0,0.868421052631579,0.9984520123839009
西瓜,0.8809523809523809,1.0,0.9367088607594936,37.0,1.0,0.9999192419511145
西红柿,0.8,0.7777777777777778,0.7887323943661971,36.0,0.7777777777777778,0.9932283029297955
车厘子,0.8857142857142857,0.96875,0.9253731343283582,32.0,0.96875,0.9987921209117938
香蕉,1.0,0.9166666666666666,0.9565217391304348,36.0,0.9166666666666666,0.9993642896627971
黄瓜,0.8947368421052632,0.9714285714285714,0.9315068493150684,35.0,0.9714285714285714,0.999403578528827
macro avg,0.8950921862723864,0.8921264687126359,0.8909050329921052,1041.0,0.8921264687126359,0.9971169472489732
weighted avg,0.8961898518326401,0.8924111431316042,0.8915365561572046,1041.0,0.8924111431316042,0.9971829674702822
